ID,original_date,modis_date
11034_ID,2003-12-06,
11043_ID,2003-10-24,2003-11-02 00:00:00.000000000
11044_ID,2003-11-06,2003-11-09 00:00:00.000000000
11045_ID,2003-11-26,2003-12-04 00:00:00.000000000
00595_ID,2003-11-04,2003-11-09 00:00:00.000000000
00600_ID,2003-10-24,2003-11-02 00:00:00.000000000
09877_ID,2003-01-01,
09878_ID,2003-01-01,2003-04-29 00:00:00.000000000
10044_ID,2003-01-20,2003-01-27 00:00:00.000000000
10045_ID,2003-05-04,
10047_ID,2003-03-09,2003-03-10 23:59:59.999999744
10048_ID,2003-01-01,
10049_ID,2003-01-01,2003-02-18 00:00:00.000000000
10051_ID,2003-01-01,2004-01-01 00:00:00.000000128
11083_ID,2003-12-29,2004-01-03 00:00:00.000000000
20109_ID,2003-12-04,2003-12-13 00:00:00.000000000
20111_ID,2003-11-13,
11088_ID,2003-09-16,
18190_ID,2004-07-01,
10937_ID,2004-05-04,
10944_ID,2004-05-04,2004-05-14 00:00:00.000000000
10946_ID,2004-05-05,2005-04-04 00:00:00.000000000
10956_ID,2004-05-04,2004-05-12 00:00:00.000000000
10959_ID,2004-05-06,2004-05-26 00:00:00.000000000
10961_ID,2004-03-14,
10966_ID,2004-05-06,2004-05-07 00:00:00.000000000
10968_ID,2004-05-05,2004-05-16 00:00:00.000000000
10980_ID,2004-05-06,2004-05-16 00:00:00.000000000
11359_ID,2004-10-27,2004-11-07 00:00:00.000000000
11366_ID,2004-12-08,2004-12-11 00:00:00.000000256
11368_ID,2004-11-07,2004-11-14 00:00:00.000000000
00510_ID,2004-02-11,2004-02-15 00:00:00.000000000
00512_ID,2004-01-10,2004-01-12 00:00:00.000000000
00517_ID,2004-01-23,2004-01-26 00:00:00.000000000
00521_ID,2004-02-15,
00532_ID,2004-03-01,2004-03-07 00:00:00.000000000
00533_ID,2004-02-03,2004-02-06 00:00:00.000000000
00540_ID,2004-02-03,
00559_ID,2004-05-04,2004-05-11 00:00:00.000000128
00570_ID,2004-02-03,2004-02-06 01:01:53.467048576
00794_ID,2004-11-21,
00824_ID,2004-10-28,2004-11-04 00:00:00.000000000
00826_ID,2004-12-28,2005-01-03 00:00:00.000000000
00830_ID,2004-11-21,2004-11-22 00:00:00.000000000
00847_ID,2004-12-18,2004-12-20 00:00:00.000000000
00853_ID,2004-12-15,2004-12-18 00:00:00.000000000
00866_ID,2004-12-20,2004-12-27 01:51:49.820316160
00871_ID,2004-12-13,2004-12-18 00:00:00.000000000
10142_ID,2004-04-07,2004-03-21 00:00:00.000000000
10749_ID,2004-05-07,2004-05-07 00:00:00.000000000
10770_ID,2004-05-27,
10823_ID,2004-01-21,
10832_ID,2004-04-02,
10837_ID,2004-02-05,
10871_ID,2004-05-27,2004-05-28 00:00:00.000000000
10879_ID,2004-05-27,
10882_ID,2004-05-27,
10893_ID,2004-05-27,
10894_ID,2004-05-27,
10895_ID,2004-05-27,
10897_ID,2004-03-25,2004-03-22 00:00:00.000000000
10901_ID,2004-03-25,
10902_ID,2004-03-17,2004-03-25 00:00:00.000000128
10906_ID,2004-04-05,2003-11-11 00:00:00.000000000
10907_ID,2004-05-03,2004-05-16 00:00:00.000000000
10908_ID,2004-04-16,2004-04-26 00:00:00.000000000
10909_ID,2004-03-15,2004-03-18 00:00:00.000000000
10911_ID,2004-05-05,2004-04-10 00:00:00.000000000
10912_ID,2004-01-02,2004-01-03 00:00:00.000000000
10913_ID,2004-04-05,2004-05-05 05:45:53.880266112
11284_ID,2004-11-21,2004-12-05 23:59:59.999999744
11285_ID,2004-10-25,2004-10-25 23:59:59.999999872
11323_ID,2004-12-08,2004-12-31 00:00:00.000000000
11324_ID,2004-10-26,2004-10-27 00:00:00.000000000
11326_ID,2004-12-02,2004-12-03 23:59:59.999999488
11327_ID,2004-11-20,2004-11-07 00:00:00.000000000
11390_ID,2004-12-15,2004-11-06 23:59:59.999999744
00496_ID,2004-04-30,2004-05-05 00:00:00.000000000
00499_ID,2004-04-27,2004-05-05 00:00:00.000000000
00500_ID,2004-04-23,2004-04-26 00:00:00.000000128
00767_ID,2004-10-24,2003-12-07 00:00:00.000000000
00770_ID,2004-10-30,2004-10-25 23:59:59.999999872
00778_ID,2004-10-15,2004-10-21 23:59:59.999999872
00783_ID,2004-09-17,2005-01-21 00:00:00.000000000
00784_ID,2004-11-19,2004-12-04 00:00:00.000000000
00785_ID,2004-11-19,2004-11-13 00:00:00.000000000
00787_ID,2004-10-24,2004-10-27 23:59:59.999999872
00788_ID,2004-11-19,2004-12-04 00:00:00.000000000
00789_ID,2004-12-02,2004-12-06 00:00:00.000000256
00791_ID,2004-10-28,2004-11-04 00:00:00.000000000
10745_ID,2004-05-14,
10746_ID,2004-05-04,
10751_ID,2004-02-03,
10754_ID,2004-05-07,2004-05-05 00:00:00.000000000
10756_ID,2004-05-07,2004-05-12 00:00:00.000000000
10763_ID,2004-04-01,2004-04-08 00:00:00.000000128
10777_ID,2004-01-27,
10779_ID,2004-01-12,
10780_ID,2004-03-24,
10781_ID,2004-01-28,
10782_ID,2004-05-07,2004-05-16 00:00:00.000000000
10783_ID,2004-04-07,
10785_ID,2004-05-07,
10787_ID,2004-05-05,
10788_ID,2004-05-07,2004-05-11 00:00:00.000000000
10789_ID,2004-05-07,2004-05-05 00:00:00.000000000
10790_ID,2004-05-07,2004-05-12 00:00:00.000000000
10794_ID,2004-05-07,2004-05-12 00:00:00.000000000
10798_ID,2004-05-07,2004-05-11 00:00:00.000000000
10804_ID,2004-05-07,2004-05-05 00:00:00.000000000
10806_ID,2004-03-12,2004-03-21 09:27:13.454783104
10810_ID,2004-05-07,2004-04-10 00:00:00.000000000
10814_ID,2004-02-05,
10818_ID,2004-01-20,2003-06-15 00:00:00.000000000
10833_ID,2004-01-09,
10843_ID,2004-03-25,2004-03-29 00:00:00.000000000
10854_ID,2004-01-09,
10855_ID,2004-04-26,2003-12-06 00:00:00.000000000
10885_ID,2004-04-28,
10904_ID,2004-05-05,
10905_ID,2004-05-05,
10910_ID,2004-04-29,
10914_ID,2004-04-28,
10915_ID,2004-05-01,2004-05-04 23:59:59.999999744
10918_ID,2004-04-28,2004-05-05 00:00:00.000000000
10919_ID,2004-04-29,
10920_ID,2004-05-02,
10921_ID,2004-05-04,
11290_ID,2004-11-20,2004-11-22 00:00:00.000000000
11292_ID,2004-12-01,2004-12-06 00:00:00.000000000
11293_ID,2004-11-15,2004-11-20 00:00:00.000000000
11294_ID,2004-10-23,2004-10-26 00:00:00.000000000
11295_ID,2004-12-20,2004-12-11 00:00:00.000000000
11319_ID,2004-11-20,2004-12-04 00:00:00.000000000
11320_ID,2004-12-07,2004-12-11 00:00:00.000000000
11321_ID,2004-12-07,2004-11-15 00:00:00.000000000
11322_ID,2004-10-19,
11325_ID,2004-11-23,2004-11-22 00:00:00.000000000
00472_ID,2004-05-30,2004-06-01 00:00:00.000000000
00473_ID,2004-05-30,2005-01-21 00:00:00.000000000
00474_ID,2004-05-15,
00475_ID,2004-05-15,
00476_ID,2004-05-15,2005-01-23 00:00:00.000000000
00477_ID,2004-05-15,2004-05-22 23:50:26.339634304
00487_ID,2004-04-27,
00488_ID,2004-05-19,2004-05-23 00:00:00.000000000
00489_ID,2004-05-03,2004-11-20 00:00:00.000000000
00498_ID,2004-05-04,2004-05-05 00:00:00.000000384
00768_ID,2004-11-29,
00769_ID,2004-09-27,2004-10-06 00:00:00.000000000
00774_ID,2004-10-24,2004-10-28 00:00:00.000000000
00775_ID,2004-10-23,2004-10-28 00:00:00.000000000
00777_ID,2004-09-29,2004-10-08 00:00:00.000000000
00779_ID,2004-10-16,2004-10-24 00:00:00.000000000
00780_ID,2004-11-30,2004-12-06 00:00:00.000000000
00781_ID,2004-11-16,2004-12-10 00:00:00.000000000
00782_ID,2004-09-25,2004-09-27 00:00:00.000000000
00786_ID,2004-11-18,
10815_ID,2004-04-16,2003-11-23 00:00:00.000000000
10829_ID,2004-02-22,
10859_ID,2004-03-10,
10860_ID,2004-01-08,
10862_ID,2004-02-04,
10883_ID,2004-04-19,
10916_ID,2004-04-30,2004-05-04 23:59:59.999999872
10917_ID,2004-04-30,2004-05-05 00:00:00.000000000
10922_ID,2004-04-30,2004-05-02 00:00:00.000000000
11287_ID,2004-11-16,2004-12-02 00:00:00.000000000
11288_ID,2004-11-07,2004-12-04 00:00:00.000000000
11289_ID,2004-11-07,
11291_ID,2004-11-07,2004-12-13 00:00:00.000000000
11296_ID,2004-11-23,
11302_ID,2004-12-01,
11307_ID,2004-12-13,2004-12-02 00:00:00.000000000
00771_ID,2004-11-08,2004-11-20 00:00:00.000000256
00776_ID,2004-11-02,2004-11-07 00:00:00.000000000
00790_ID,2004-11-15,2004-10-28 00:00:00.000000128
10945_ID,2004-04-10,
11355_ID,2004-11-21,2004-11-27 00:00:00.000000000
11374_ID,2004-11-25,2004-11-26 23:59:59.999999744
10984_ID,2004-04-01,
10986_ID,2004-04-01,
11373_ID,2004-09-16,
11389_ID,2004-12-16,2004-12-11 00:00:00.000000256
09739_ID,2005-07-01,2006-05-18 00:00:00.000000000
02179_ID,2005-07-01,
11251_ID,2005-03-20,2005-04-03 00:00:00.000000512
11252_ID,2005-03-20,
11253_ID,2005-03-22,2005-04-03 00:00:00.000000000
11266_ID,2005-03-23,2005-04-04 00:00:00.000000000
11274_ID,2005-01-02,2005-01-10 00:45:54.688672128
11740_ID,2005-11-25,
11761_ID,2005-11-26,2005-12-18 00:00:00.000000000
11762_ID,2005-08-01,
00668_ID,2005-02-04,
00676_ID,2005-03-02,2005-03-12 00:00:00.000000000
00709_ID,2005-02-15,
00710_ID,2005-01-15,2005-01-22 23:59:59.999999232
00724_ID,2005-01-15,2005-01-21 00:00:00.000000000
00733_ID,2005-02-20,
00734_ID,2005-02-15,2005-02-20 00:00:00.000000000
01121_ID,2005-11-20,2005-11-21 00:00:00.000000000
11184_ID,2005-04-15,
11163_ID,2005-04-19,
11165_ID,2005-01-12,2005-01-16 00:00:00.000000000
11168_ID,2005-04-18,
11171_ID,2005-05-09,2005-04-22 00:00:00.000000000
11172_ID,2005-05-09,
11173_ID,2005-05-09,
11174_ID,2005-05-09,
11175_ID,2005-05-09,
11176_ID,2005-05-09,
11182_ID,2005-01-12,2005-01-05 00:00:00.000000000
11186_ID,2005-05-27,
11187_ID,2005-05-27,
11391_ID,2005-04-07,2005-04-10 00:00:00.000000000
11392_ID,2005-04-07,2005-04-12 00:00:00.000000000
11393_ID,2005-04-07,2006-03-05 00:00:00.000000000
11394_ID,2005-04-07,
11743_ID,2005-12-02,
